col,row,width_m,height_m,hex_color,length_m
5,25,0.015,0.015,#080504,0.01
6,25,0.015,0.015,#2B1D16,0.03
7,25,0.015,0.015,#13110D,0.05
8,25,0.015,0.015,#1B140D,0.09
9,25,0.015,0.015,#2B1D16,0.05
10,25,0.015,0.015,#40211B,0.05
11,25,0.015,0.015,#40211B,0.05
12,25,0.015,0.015,#40211B,0.01
13,25,0.015,0.015,#40211B,0.01
14,25,0.015,0.015,#1B140D,0.01
15,25,0.015,0.015,#1B140D,0.01
16,25,0.015,0.015,#223710,0.07
17,25,0.015,0.015,#4E6622,0.01
18,25,0.015,0.015,#4E6622,0.01
19,25,0.015,0.015,#314E3F,0.01
20,25,0.015,0.015,#124732,0.09
21,25,0.015,0.015,#22342B,0.07
22,25,0.015,0.015,#3A1D2D,0.03
23,25,0.015,0.015,#40211B,0.03
24,25,0.015,0.015,#40211B,0.03
25,25,0.015,0.015,#40211B,0.05
26,25,0.015,0.015,#2B1D16,0.03
27,25,0.015,0.015,#40211B,0.03
28,25,0.015,0.015,#40211B,0.01
29,25,0.015,0.015,#314E3F,0.01
30,25,0.015,0.015,#024443,0.01
31,25,0.015,0.015,#09312F,0.01
32,25,0.015,0.015,#22342B,0.09
33,25,0.015,0.015,#5A684C,0.07
34,25,0.015,0.015,#716155,0.07
35,25,0.015,0.015,#716155,0.01
36,25,0.015,0.015,#5A502E,0.01
37,25,0.015,0.015,#40211B,0.07
38,25,0.015,0.015,#40211B,0.01
39,25,0.015,0.015,#40211B,0.03
40,25,0.015,0.015,#2B1D16,0.03
41,25,0.015,0.015,#4E3028,0.07
42,25,0.015,0.015,#4E3028,0.09
43,25,0.015,0.015,#2B1D16,0.01
44,25,0.015,0.015,#1B140D,0.01
45,25,0.015,0.015,#2B1D16,0.03
46,25,0.015,0.015,#1B140D,0.03
47,25,0.015,0.015,#080504,0.07
48,25,0.015,0.015,#080504,0.01
49,25,0.015,0.015,#080504,0.03
50,25,0.015,0.015,#080504,0.09
1,26,0.015,0.015,#080504,0.05
2,26,0.015,0.015,#080504,0.03
3,26,0.015,0.015,#080504,0.03
4,26,0.015,0.015,#080504,0.03
5,26,0.015,0.015,#080504,0.01
6,26,0.015,0.015,#080504,0.03
7,26,0.015,0.015,#080504,0.03
8,26,0.015,0.015,#13110D,0.05
9,26,0.015,0.015,#13110D,0.03
10,26,0.015,0.015,#2B1D16,0.07
11,26,0.015,0.015,#40211B,0.03
12,26,0.015,0.015,#4E3028,0.07
13,26,0.015,0.015,#5A502E,0.09
14,26,0.015,0.015,#4E3028,0.09
15,26,0.015,0.015,#5A502E,0.03
16,26,0.015,0.015,#4E3028,0.09
17,26,0.015,0.015,#40211B,0.09
18,26,0.015,0.015,#2C491D,0.09
19,26,0.015,0.015,#2C491D,0.03
20,26,0.015,0.015,#314E3F,0.09
21,26,0.015,0.015,#26535D,0.03
22,26,0.015,0.015,#26535D,0.09
23,26,0.015,0.015,#024443,0.07
24,26,0.015,0.015,#124732,0.09
25,26,0.015,0.015,#124732,0.07
26,26,0.015,0.015,#22342B,0.05
27,26,0.015,0.015,#09312F,0.05
28,26,0.015,0.015,#22342B,0.01
29,26,0.015,0.015,#314E3F,0.03
30,26,0.015,0.015,#314E3F,0.03
31,26,0.015,0.015,#716155,0.01
32,26,0.015,0.015,#716155,0.01
33,26,0.015,0.015,#5A502E,0.01
34,26,0.015,0.015,#5A502E,0.05
35,26,0.015,0.015,#4E3028,0.07
36,26,0.015,0.015,#2B1D16,0.07
37,26,0.015,0.015,#4E3028,0.09
38,26,0.015,0.015,#40211B,0.09
39,26,0.015,0.015,#40211B,0.01
40,26,0.015,0.015,#7E4541,0.09
41,26,0.015,0.015,#5A502E,0.07
42,26,0.015,0.015,#2B1D16,0.01
43,26,0.015,0.015,#4E3028,0.03
44,26,0.015,0.015,#4E3028,0.07
45,26,0.015,0.015,#2B1D16,0.05
46,26,0.015,0.015,#1B140D,0.09
47,26,0.015,0.015,#080504,0.05
48,26,0.015,0.015,#080504,0.03
49,26,0.015,0.015,#080504,0.09
50,26,0.015,0.015,#080504,0.05
1,27,0.015,0.015,#080504,0.03
2,27,0.015,0.015,#080504,0.03
3,27,0.015,0.015,#080504,0.07
4,27,0.015,0.015,#080504,0.09
5,27,0.015,0.015,#080504,0.01
6,27,0.015,0.015,#080504,0.05
7,27,0.015,0.015,#080504,0.03
8,27,0.015,0.015,#13110D,0.03
9,27,0.015,0.015,#1B140D,0.09
10,27,0.015,0.015,#13110D,0.09
11,27,0.015,0.015,#1B140D,0.03
12,27,0.015,0.015,#1B140D,0.01
13,27,0.015,0.015,#1B140D,0.01
14,27,0.015,0.015,#40211B,0.09
15,27,0.015,0.015,#40211B,0.05
16,27,0.015,0.015,#40211B,0.05
17,27,0.015,0.015,#5A502E,0.09
18,27,0.015,0.015,#5A502E,0.09
19,27,0.015,0.015,#5A502E,0.07
20,27,0.015,0.015,#5A502E,0.05
21,27,0.015,0.015,#5A502E,0.09
22,27,0.015,0.015,#5A502E,0.05
23,27,0.015,0.015,#5A502E,0.05
24,27,0.015,0.015,#5A502E,0.07
25,27,0.015,0.015,#5A502E,0.07
26,27,0.015,0.015,#7E4541,0.03
27,27,0.015,0.015,#7E4541,0.01
28,27,0.015,0.015,#716155,0.09
29,27,0.015,0.015,#5A502E,0.09
30,27,0.015,0.015,#5A502E,0.09
31,27,0.015,0.015,#4E3028,0.09
32,27,0.015,0.015,#4E3028,0.05
33,27,0.015,0.015,#40211B,0.01
34,27,0.015,0.015,#13110D,0.07
35,27,0.015,0.015,#1B140D,0.01
36,27,0.015,0.015,#2B1D16,0.07
37,27,0.015,0.015,#2B1D16,0.05
38,27,0.015,0.015,#4E3028,0.01
39,27,0.015,0.015,#7E4541,0.03
40,27,0.015,0.015,#4E3028,0.07
41,27,0.015,0.015,#2B1D16,0.03
42,27,0.015,0.015,#5A502E,0.09
43,27,0.015,0.015,#5A502E,0.01
44,27,0.015,0.015,#2B1D16,0.03
45,27,0.015,0.015,#1B140D,0.05
46,27,0.015,0.015,#1B140D,0.07
47,27,0.015,0.015,#080504,0.05
48,27,0.015,0.015,#080504,0.03
49,27,0.015,0.015,#080504,0.01
50,27,0.015,0.015,#080504,0.01
1,28,0.015,0.015,#080504,0.05
2,28,0.015,0.015,#080504,0.05
3,28,0.015,0.015,#080504,0.05
4,28,0.015,0.015,#080504,0.01
5,28,0.015,0.015,#080504,0.01
6,28,0.015,0.015,#080504,0.03
7,28,0.015,0.015,#080504,0.05
8,28,0.015,0.015,#080504,0.05
9,28,0.015,0.015,#2B1D16,0.07
10,28,0.015,0.015,#080504,0.07
11,28,0.015,0.015,#1B140D,0.07
12,28,0.015,0.015,#1B140D,0.03
13,28,0.015,0.015,#2B1D16,0.07
14,28,0.015,0.015,#13110D,0.09
15,28,0.015,0.015,#2B1D16,0.09
16,28,0.015,0.015,#13110D,0.07
17,28,0.015,0.015,#2B1D16,0.07
18,28,0.015,0.015,#40211B,0.09
19,28,0.015,0.015,#40211B,0.09
20,28,0.015,0.015,#40211B,0.09
21,28,0.015,0.015,#40211B,0.09
22,28,0.015,0.015,#4E3028,0.05
23,28,0.015,0.015,#643735,0.05
24,28,0.015,0.015,#4E3028,0.05
25,28,0.015,0.015,#4E3028,0.01
26,28,0.015,0.015,#643735,0.09
27,28,0.015,0.015,#4E3028,0.03
28,28,0.015,0.015,#40211B,0.01
29,28,0.015,0.015,#4E3028,0.05
30,28,0.015,0.015,#4E3028,0.03
31,28,0.015,0.015,#40211B,0.09
32,28,0.015,0.015,#1B140D,0.09
33,28,0.015,0.015,#1B140D,0.03
34,28,0.015,0.015,#2B1D16,0.01
35,28,0.015,0.015,#2B1D16,0.03
36,28,0.015,0.015,#2B1D16,0.03
37,28,0.015,0.015,#5A502E,0.05
38,28,0.015,0.015,#5A502E,0.09
39,28,0.015,0.015,#4E3028,0.09
40,28,0.015,0.015,#5A502E,0.03
41,28,0.015,0.015,#4E3028,0.05
42,28,0.015,0.015,#40211B,0.01
43,28,0.015,0.015,#1B140D,0.09
44,28,0.015,0.015,#1B140D,0.01
45,28,0.015,0.015,#1B140D,0.03
46,28,0.015,0.015,#1B140D,0.03
47,28,0.015,0.015,#080504,0.07
48,28,0.015,0.015,#080504,0.01
49,28,0.015,0.015,#080504,0.03
50,28,0.015,0.015,#080504,0.05
1,29,0.015,0.015,#080504,0.05
2,29,0.015,0.015,#080504,0.07
3,29,0.015,0.015,#080504,0.03
4,29,0.015,0.015,#080504,0.09
5,29,0.015,0.015,#080504,0.05
6,29,0.015,0.015,#080504,0.05
7,29,0.015,0.015,#080504,0.03
8,29,0.015,0.015,#080504,0.09
9,29,0.015,0.015,#2B1D16,0.05
10,29,0.015,0.015,#080504,0.01
11,29,0.015,0.015,#080504,0.01
12,29,0.015,0.015,#1B140D,0.09
13,29,0.015,0.015,#2B1D16,0.09
14,29,0.015,0.015,#2B1D16,0.03
15,29,0.015,0.015,#1B140D,0.07
16,29,0.015,0.015,#13110D,0.01
17,29,0.015,0.015,#13110D,0.05
18,29,0.015,0.015,#1B140D,0.05
19,29,0.015,0.015,#13110D,0.01
20,29,0.015,0.015,#13110D,0.01
21,29,0.015,0.015,#1B140D,0.01
22,29,0.015,0.015,#1B140D,0.07
23,29,0.015,0.015,#1B140D,0.09
24,29,0.015,0.015,#40211B,0.01
25,29,0.015,0.015,#2B1D16,0.09
26,29,0.015,0.015,#2B1D16,0.03
27,29,0.015,0.015,#1B140D,0.09
28,29,0.015,0.015,#13110D,0.07
29,29,0.015,0.015,#1B140D,0.07
30,29,0.015,0.015,#13110D,0.07
31,29,0.015,0.015,#1B140D,0.01
32,29,0.015,0.015,#40211B,0.05
33,29,0.015,0.015,#40211B,0.07
34,29,0.015,0.015,#40211B,0.07
35,29,0.015,0.015,#40211B,0.07
36,29,0.015,0.015,#5A502E,0.01
37,29,0.015,0.015,#4E3028,0.05
38,29,0.015,0.015,#4E3028,0.03
39,29,0.015,0.015,#4E3028,0.07
40,29,0.015,0.015,#2B1D16,0.07
41,29,0.015,0.015,#2B1D16,0.09
42,29,0.015,0.015,#1B140D,0.07
43,29,0.015,0.015,#2B1D16,0.03
44,29,0.015,0.015,#1B140D,0.07
45,29,0.015,0.015,#1B140D,0.01
46,29,0.015,0.015,#13110D,0.01
47,29,0.015,0.015,#080504,0.07
48,29,0.015,0.015,#080504,0.01
49,29,0.015,0.015,#080504,0.09
50,29,0.015,0.015,#080504,0.05
1,30,0.015,0.015,#080504,0.07
2,30,0.015,0.015,#080504,0.07
3,30,0.015,0.015,#080504,0.05
4,30,0.015,0.015,#080504,0.01
5,30,0.015,0.015,#080504,0.03
6,30,0.015,0.015,#080504,0.07
7,30,0.015,0.015,#080504,0.09
8,30,0.015,0.015,#080504,0.01
9,30,0.015,0.015,#1B140D,0.01
10,30,0.015,0.015,#080504,0.01
11,30,0.015,0.015,#080504,0.07
12,30,0.015,0.015,#080504,0.07
13,30,0.015,0.015,#13110D,0.05
14,30,0.015,0.015,#1B140D,0.07
15,30,0.015,0.015,#13110D,0.03
16,30,0.015,0.015,#1B140D,0.01
17,30,0.015,0.015,#40211B,0.03
18,30,0.015,0.015,#1B140D,0.07
19,30,0.015,0.015,#13110D,0.07
20,30,0.015,0.015,#080504,0.07
21,30,0.015,0.015,#080504,0.01
22,30,0.015,0.015,#13110D,0.07
23,30,0.015,0.015,#080504,0.07
24,30,0.015,0.015,#1B140D,0.03
25,30,0.015,0.015,#13110D,0.07
26,30,0.015,0.015,#13110D,0.09
27,30,0.015,0.015,#13110D,0.03
28,30,0.015,0.015,#13110D,0.05
29,30,0.015,0.015,#1B140D,0.05
30,30,0.015,0.015,#2B1D16,0.01
31,30,0.015,0.015,#2B1D16,0.07
32,30,0.015,0.015,#1B140D,0.01
33,30,0.015,0.015,#2B1D16,0.01
34,30,0.015,0.015,#4E3028,0.01
35,30,0.015,0.015,#4E3028,0.03
36,30,0.015,0.015,#40211B,0.05
37,30,0.015,0.015,#1B140D,0.03
38,30,0.015,0.015,#40211B,0.05
39,30,0.015,0.015,#40211B,0.09
40,30,0.015,0.015,#1B140D,0.05
41,30,0.015,0.015,#1B140D,0.05
42,30,0.015,0.015,#2B1D16,0.09
43,30,0.015,0.015,#1B140D,0.09
44,30,0.015,0.015,#2B1D16,0.01
45,30,0.015,0.015,#1B140D,0.03
46,30,0.015,0.015,#080504,0.07
47,30,0.015,0.015,#080504,0.07
48,30,0.015,0.015,#080504,0.01
49,30,0.015,0.015,#080504,0.07
50,30,0.015,0.015,#080504,0.09
1,31,0.015,0.015,#080504,0.09
2,31,0.015,0.015,#080504,0.09
3,31,0.015,0.015,#080504,0.01
4,31,0.015,0.015,#080504,0.01
5,31,0.015,0.015,#080504,0.07
6,31,0.015,0.015,#080504,0.05
7,31,0.015,0.015,#080504,0.09
8,31,0.015,0.015,#080504,0.01
9,31,0.015,0.015,#080504,0.03
10,31,0.015,0.015,#080504,0.09
11,31,0.015,0.015,#080504,0.09
12,31,0.015,0.015,#080504,0.05
13,31,0.015,0.015,#080504,0.09
14,31,0.015,0.015,#1B140D,0.07
15,31,0.015,0.015,#13110D,0.05
16,31,0.015,0.015,#13110D,0.03
17,31,0.015,0.015,#2B1D16,0.07
18,31,0.015,0.015,#1B140D,0.03
19,31,0.015,0.015,#2B1D16,0.09
20,31,0.015,0.015,#1B140D,0.01
21,31,0.015,0.015,#080504,0.07
22,31,0.015,0.015,#13110D,0.03
23,31,0.015,0.015,#2B1D16,0.07
24,31,0.015,0.015,#40211B,0.07
25,31,0.015,0.015,#2B1D16,0.01
26,31,0.015,0.015,#2B1D16,0.01
27,31,0.015,0.015,#40211B,0.03
28,31,0.015,0.015,#40211B,0.01
29,31,0.015,0.015,#2B1D16,0.01
30,31,0.015,0.015,#4E3028,0.05
31,31,0.015,0.015,#40211B,0.03
32,31,0.015,0.015,#2B1D16,0.09
33,31,0.015,0.015,#4E3028,0.01
34,31,0.015,0.015,#4E3028,0.01
35,31,0.015,0.015,#4E3028,0.05
36,31,0.015,0.015,#4E3028,0.03
37,31,0.015,0.015,#2B1D16,0.05
38,31,0.015,0.015,#1B140D,0.09
39,31,0.015,0.015,#13110D,0.03
40,31,0.015,0.015,#2B1D16,0.05
41,31,0.015,0.015,#3A1D2D,0.05
42,31,0.015,0.015,#1B140D,0.07
43,31,0.015,0.015,#2B1D16,0.07
44,31,0.015,0.015,#2B1D16,0.05
45,31,0.015,0.015,#2B1D16,0.01
46,31,0.015,0.015,#13110D,0.05
47,31,0.015,0.015,#080504,0.05
48,31,0.015,0.015,#080504,0.09
49,31,0.015,0.015,#080504,0.01
50,31,0.015,0.015,#080504,0.09
1,32,0.015,0.015,#080504,0.01
2,32,0.015,0.015,#080504,0.09
3,32,0.015,0.015,#080504,0.03
4,32,0.015,0.015,#080504,0.01
5,32,0.015,0.015,#080504,0.07
6,32,0.015,0.015,#080504,0.05
7,32,0.015,0.015,#080504,0.07
8,32,0.015,0.015,#080504,0.01
9,32,0.015,0.015,#080504,0.01
10,32,0.015,0.015,#080504,0.07
11,32,0.015,0.015,#080504,0.03
12,32,0.015,0.015,#080504,0.09
13,32,0.015,0.015,#080504,0.09
14,32,0.015,0.015,#13110D,0.07
15,32,0.015,0.015,#080504,0.01
16,32,0.015,0.015,#080504,0.01
17,32,0.015,0.015,#1B140D,0.09
18,32,0.015,0.015,#13110D,0.03
19,32,0.015,0.015,#13110D,0.03
20,32,0.015,0.015,#13110D,0.07
21,32,0.015,0.015,#10241E,0.07
22,32,0.015,0.015,#13110D,0.03
23,32,0.015,0.015,#13110D,0.09
24,32,0.015,0.015,#080504,0.09
25,32,0.015,0.015,#1B140D,0.05
26,32,0.015,0.015,#1B140D,0.09
27,32,0.015,0.015,#2B1D16,0.05
28,32,0.015,0.015,#1B140D,0.07
29,32,0.015,0.015,#40211B,0.05
30,32,0.015,0.015,#4E3028,0.05
31,32,0.015,0.015,#4E3028,0.05
32,32,0.015,0.015,#5A502E,0.09
33,32,0.015,0.015,#4E3028,0.09
34,32,0.015,0.015,#2B1D16,0.01
35,32,0.015,0.015,#2B1D16,0.05
36,32,0.015,0.015,#13110D,0.05
37,32,0.015,0.015,#080504,0.05
38,32,0.015,0.015,#13110D,0.03
39,32,0.015,0.015,#1B140D,0.03
40,32,0.015,0.015,#13110D,0.09
41,32,0.015,0.015,#080504,0.01
42,32,0.015,0.015,#2B1D16,0.05
43,32,0.015,0.015,#1B140D,0.07
44,32,0.015,0.015,#2B1D16,0.01
45,32,0.015,0.015,#2B1D16,0.09
46,32,0.015,0.015,#13110D,0.03
47,32,0.015,0.015,#080504,0.05
48,32,0.015,0.015,#080504,0.05
49,32,0.015,0.015,#080504,0.03
50,32,0.015,0.015,#080504,0.07
1,33,0.015,0.015,#080504,0.07
2,33,0.015,0.015,#080504,0.07
3,33,0.015,0.015,#080504,0.09
4,33,0.015,0.015,#080504,0.05
5,33,0.015,0.015,#080504,0.01
6,33,0.015,0.015,#080504,0.03
7,33,0.015,0.015,#080504,0.09
8,33,0.015,0.015,#080504,0.01
9,33,0.015,0.015,#080504,0.01
10,33,0.015,0.015,#080504,0.07
11,33,0.015,0.015,#080504,0.03
12,33,0.015,0.015,#080504,0.03
13,33,0.015,0.015,#080504,0.05
14,33,0.015,0.015,#13110D,0.01
15,33,0.015,0.015,#080504,0.07
16,33,0.015,0.015,#080504,0.09
17,33,0.015,0.015,#080504,0.09
18,33,0.015,0.015,#080504,0.09
19,33,0.015,0.015,#13110D,0.07
20,33,0.015,0.015,#080504,0.05
21,33,0.015,0.015,#010B0B,0.09
22,33,0.015,0.015,#13110D,0.09
23,33,0.015,0.015,#080504,0.03
24,33,0.015,0.015,#13110D,0.05
25,33,0.015,0.015,#080504,0.09
26,33,0.015,0.015,#13110D,0.01
27,33,0.015,0.015,#13110D,0.01
28,33,0.015,0.015,#13110D,0.01
29,33,0.015,0.015,#2B1D16,0.05
30,33,0.015,0.015,#2B1D16,0.07
31,33,0.015,0.015,#13110D,0.09
32,33,0.015,0.015,#080504,0.07
33,33,0.015,0.015,#080504,0.09
34,33,0.015,0.015,#080504,0.03
35,33,0.015,0.015,#080504,0.07
36,33,0.015,0.015,#080504,0.07
37,33,0.015,0.015,#13110D,0.01
38,33,0.015,0.015,#080504,0.09
39,33,0.015,0.015,#080504,0.05
40,33,0.015,0.015,#080504,0.07
41,33,0.015,0.015,#080504,0.01
42,33,0.015,0.015,#080504,0.03
43,33,0.015,0.015,#080504,0.01
44,33,0.015,0.015,#13110D,0.05
45,33,0.015,0.015,#080504,0.05
46,33,0.015,0.015,#080504,0.09
47,33,0.015,0.015,#080504,0.01
48,33,0.015,0.015,#080504,0.09
49,33,0.015,0.015,#080504,0.09
50,33,0.015,0.015,#080504,0.09
1,34,0.015,0.015,#080504,0.09
2,34,0.015,0.015,#080504,0.01
3,34,0.015,0.015,#080504,0.03
4,34,0.015,0.015,#080504,0.07
5,34,0.015,0.015,#080504,0.09
6,34,0.015,0.015,#080504,0.09
7,34,0.015,0.015,#080504,0.05
8,34,0.015,0.015,#080504,0.09
9,34,0.015,0.015,#080504,0.07
10,34,0.015,0.015,#080504,0.09
11,34,0.015,0.015,#080504,0.01
12,34,0.015,0.015,#080504,0.07
13,34,0.015,0.015,#080504,0.05
14,34,0.015,0.015,#080504,0.07
15,34,0.015,0.015,#080504,0.01
16,34,0.015,0.015,#080504,0.09
17,34,0.015,0.015,#080504,0.09
18,34,0.015,0.015,#080504,0.05
19,34,0.015,0.015,#080504,0.09
20,34,0.015,0.015,#080504,0.01
21,34,0.015,0.015,#080504,0.07
22,34,0.015,0.015,#080504,0.09
23,34,0.015,0.015,#080504,0.05
24,34,0.015,0.015,#080504,0.01
25,34,0.015,0.015,#080504,0.01
26,34,0.015,0.015,#080504,0.01
27,34,0.015,0.015,#080504,0.09
28,34,0.015,0.015,#080504,0.09
29,34,0.015,0.015,#080504,0.09
30,34,0.015,0.015,#080504,0.09
31,34,0.015,0.015,#080504,0.03
32,34,0.015,0.015,#080504,0.07
33,34,0.015,0.015,#080504,0.07
34,34,0.015,0.015,#080504,0.05
35,34,0.015,0.015,#080504,0.09
36,34,0.015,0.015,#080504,0.09
37,34,0.015,0.015,#080504,0.07
38,34,0.015,0.015,#080504,0.05
39,34,0.015,0.015,#080504,0.09
40,34,0.015,0.015,#080504,0.07
41,34,0.015,0.015,#080504,0.05
42,34,0.015,0.015,#080504,0.01
43,34,0.015,0.015,#080504,0.07
44,34,0.015,0.015,#080504,0.09
45,34,0.015,0.015,#080504,0.09
46,34,0.015,0.015,#080504,0.07
47,34,0.015,0.015,#080504,0.09
48,34,0.015,0.015,#080504,0.07
49,34,0.015,0.015,#080504,0.07
50,34,0.015,0.015,#080504,0.01
1,35,0.015,0.015,#080504,0.03
2,35,0.015,0.015,#080504,0.03
3,35,0.015,0.015,#080504,0.03
4,35,0.015,0.015,#080504,0.03
5,35,0.015,0.015,#080504,0.01
6,35,0.015,0.015,#080504,0.09
7,35,0.015,0.015,#080504,0.09
8,35,0.015,0.015,#080504,0.01
9,35,0.015,0.015,#080504,0.05
10,35,0.015,0.015,#080504,0.07
11,35,0.015,0.015,#080504,0.03
12,35,0.015,0.015,#080504,0.05
13,35,0.015,0.015,#080504,0.05
14,35,0.015,0.015,#080504,0.07
15,35,0.015,0.015,#080504,0.05
16,35,0.015,0.015,#080504,0.05
17,35,0.015,0.015,#080504,0.05
18,35,0.015,0.015,#080504,0.05
19,35,0.015,0.015,#080504,0.01
20,35,0.015,0.015,#080504,0.01
21,35,0.015,0.015,#080504,0.05
22,35,0.015,0.015,#080504,0.09
23,35,0.015,0.015,#080504,0.05
24,35,0.015,0.015,#080504,0.01
25,35,0.015,0.015,#080504,0.07
26,35,0.015,0.015,#080504,0.01
27,35,0.015,0.015,#080504,0.01
28,35,0.015,0.015,#080504,0.03
29,35,0.015,0.015,#080504,0.01
30,35,0.015,0.015,#080504,0.05
31,35,0.015,0.015,#080504,0.03
32,35,0.015,0.015,#080504,0.03
33,35,0.015,0.015,#080504,0.09
34,35,0.015,0.015,#080504,0.07
35,35,0.015,0.015,#080504,0.01
36,35,0.015,0.015,#080504,0.07
37,35,0.015,0.015,#080504,0.09
38,35,0.015,0.015,#080504,0.03
39,35,0.015,0.015,#080504,0.09
40,35,0.015,0.015,#080504,0.05
41,35,0.015,0.015,#080504,0.01
42,35,0.015,0.015,#080504,0.01
43,35,0.015,0.015,#080504,0.03
44,35,0.015,0.015,#080504,0.07
45,35,0.015,0.015,#080504,0.01
46,35,0.015,0.015,#080504,0.09
47,35,0.015,0.015,#080504,0.07
48,35,0.015,0.015,#080504,0.05
49,35,0.015,0.015,#080504,0.07
50,35,0.015,0.015,#080504,0.07
1,36,0.015,0.015,#080504,0.09
2,36,0.015,0.015,#080504,0.03
3,36,0.015,0.015,#080504,0.09
4,36,0.015,0.015,#080504,0.05
5,36,0.015,0.015,#080504,0.07
6,36,0.015,0.015,#080504,0.03
7,36,0.015,0.015,#080504,0.03
8,36,0.015,0.015,#080504,0.05
9,36,0.015,0.015,#080504,0.05
10,36,0.015,0.015,#080504,0.09
11,36,0.015,0.015,#080504,0.07
12,36,0.015,0.015,#080504,0.09
13,36,0.015,0.015,#080504,0.09
14,36,0.015,0.015,#080504,0.05
15,36,0.015,0.015,#080504,0.07
16,36,0.015,0.015,#080504,0.05
17,36,0.015,0.015,#080504,0.01
18,36,0.015,0.015,#080504,0.01
19,36,0.015,0.015,#080504,0.07
20,36,0.015,0.015,#080504,0.07
21,36,0.015,0.015,#080504,0.05
22,36,0.015,0.015,#080504,0.03
23,36,0.015,0.015,#080504,0.05
24,36,0.015,0.015,#080504,0.01
25,36,0.015,0.015,#080504,0.01
26,36,0.015,0.015,#080504,0.09
27,36,0.015,0.015,#080504,0.07
28,36,0.015,0.015,#080504,0.05
29,36,0.015,0.015,#080504,0.05
30,36,0.015,0.015,#080504,0.09
31,36,0.015,0.015,#080504,0.07
32,36,0.015,0.015,#080504,0.01
33,36,0.015,0.015,#080504,0.01
34,36,0.015,0.015,#080504,0.03
35,36,0.015,0.015,#080504,0.07
36,36,0.015,0.015,#080504,0.05
37,36,0.015,0.015,#080504,0.09
38,36,0.015,0.015,#080504,0.03
39,36,0.015,0.015,#080504,0.05
40,36,0.015,0.015,#080504,0.01
41,36,0.015,0.015,#080504,0.03
42,36,0.015,0.015,#080504,0.05
43,36,0.015,0.015,#080504,0.03
44,36,0.015,0.015,#080504,0.05
45,36,0.015,0.015,#080504,0.03
46,36,0.015,0.015,#080504,0.03
47,36,0.015,0.015,#080504,0.03
48,36,0.015,0.015,#080504,0.01
49,36,0.015,0.015,#080504,0.05
50,36,0.015,0.015,#080504,0.01
